ACT_Actions,PK_ACT_Actions,NULL,ACT_cKey
ActionPlanProjects,PK_ActionPlanProjects,FK_ActionPlanProjects_PLI_ProductionLines,ActionPlanProjectId
ActionPlanTasks,PK_ActionPlanTasks,FK_ActionPlanTasks_ActionPlanProjects,ActionPlanTaskId
ActionPlanTasks,PK_ActionPlanTasks,FK_ActionPlanTasks_TourneyVarianceResponsible,ActionPlanTaskId
APR_ApiRequests,PK_APR_ApiRequests,FK_APR_ApiRequests_FOD_FormDefinitions,APR_iID
APR_ApiRequests,PK_APR_ApiRequests,FK_APR_ApiRequests_CLI_Clients,APR_iID
BMC_BatchMeasuresComputes,PK_BMC_BatchMeasuresComputes,FK_BMC_BatchMeasuresComputes_MDE_MeasureDefinitions1,BMC_cID
BPA_BatchePauses,PK_BPA_BatchePauses,FK_BPA_BatchePauses_DowntimeType,BPA_cID
BPA_BatchePauses,PK_BPA_BatchePauses,FK_BPA_BatchePauses_PLB_ProductionLineBatches,BPA_cID
CAT_Categories,PK_CAT_Categories,FK_CAT_Categories_PLI_ProductionLines,CAT_cID
CFO_CustomForms,PK_CFO_CustomForms,FK_CFO_CustomForms_MDE_MeasureDefinitions,CFO_cID
CFO_CustomForms,PK_CFO_CustomForms,FK_CFO_CustomForms_PLI_ProductionLines,CFO_cID
CFO_CustomForms,PK_CFO_CustomForms,FK_CFO_CustomForms_PRD_Products,CFO_cID
CFO_CustomForms,PK_CFO_CustomForms,FK_CFO_CustomForms_USE_Users,CFO_cID
CLI_Clients,PK_CLI_Clients,FK_CLI_Clients_COU_Countries,CLI_cID
CLI_Clients,PK_CLI_Clients,FK_CLI_Clients_REG_Regions,CLI_cID
COM_Comments,PK_COM_Comments,FK_COM_Comments_CLI_Clients,COM_cId
ContactForm,PK_ContactForm,NULL,ContactFormId
COU_Countries,PK_COU_Countries,NULL,COU_cCode
CSE_ClientSensors,PK_CSE_ClientSensors,FK_CSE_ClientSensors_CLI_Clients,CSE_cID
CSE_ClientSensors,PK_CSE_ClientSensors,FK_CSE_ClientSensors_PLI_ProductionLines,CSE_cID
DEV_Devices,PK_DEV_Devices,FK_DEV_Devices_CLI_Clients,DEV_cID
DEV_Devices,PK_DEV_Devices,FK_DEV_Devices_USE_Users1,DEV_cID
DME_DayMeasures,PK_DME_DayMeasures,FK_DME_DayMeasures_FDV_FormDefinitionVersions,DME_cID
DME_DayMeasures,PK_DME_DayMeasures,FK_DME_DayMeasures_MDE_MeasureDefinitions,DME_cID
