"","SqlTrace"
"1","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"2","declare @p1 int
set @p1=180199125
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT sv000805.*, ISNULL(t.Task_Description, sv000805.Note_Service_Index) as Subject  , CASE WHEN ISNULL(t.Task_Description, '''') <> '''' THEN 1 ELSE 0 END as ModeTache, a.Type_of_Problem , RTRIM(sv000805.CustNmbr) + ''_'' + RTRIM(sv000805.AdrsCode) + ''_'' + RTRIM(sv000805.Service_Call_ID) + ''_'' + RTRIM(sv000805.Ws_Note_Type) + ''_'' + RTRIM(sv000805.Note_Service_Index) as NoteKey FROM SV000805  LEFT JOIN HS_Appel a on sv000805.Service_Call_ID= a.Service_Call_ID LEFT JOIN HS_Tache t on sv000805.Service_Call_ID= t.Service_Call_ID         AND t.Task_Line_Number= CASE WHEN ISNUMERIC(sv000805.Note_Service_Index)= 1 THEN sv000805.Note_Service_Index ELSE 0 END WHERE UPPER(Reminder_Author) = ''ED50617RSC''  AND Reminder = ''1''  AND Reminder_Date <= CONVERT(DATETIME,''2016-11-10 10:59:00'')  AND Reminder_Date >= CONVERT(DATETIME,''2000-01-01 00:00:00'')  AND sv000805.WSReserved_CB5= 0  ORDER BY  Reminder_Date ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"3","exec sp_cursoroption 180199125,1,0"
"4","exec sp_cursorfetch 180199125,16,1,1"
"5","exec sp_cursorclose 180199125"
"6","declare @p1 int
set @p1=180199127
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT sv000805.*, ISNULL(t.Task_Description, sv000805.Note_Service_Index) as Subject  , CASE WHEN ISNULL(t.Task_Description, '''') <> '''' THEN 1 ELSE 0 END as ModeTache, a.Type_of_Problem , RTRIM(sv000805.CustNmbr) + ''_'' + RTRIM(sv000805.AdrsCode) + ''_'' + RTRIM(sv000805.Service_Call_ID) + ''_'' + RTRIM(sv000805.Ws_Note_Type) + ''_'' + RTRIM(sv000805.Note_Service_Index) as NoteKey FROM SV000805  LEFT JOIN HS_Appel a on sv000805.Service_Call_ID= a.Service_Call_ID LEFT JOIN HS_Tache t on sv000805.Service_Call_ID= t.Service_Call_ID         AND t.Task_Line_Number= CASE WHEN ISNUMERIC(sv000805.Note_Service_Index)= 1 THEN sv000805.Note_Service_Index ELSE 0 END WHERE UPPER(Reminder_Author) = ''ED50617RSC''  AND Reminder = ''1''  AND Reminder_Date <= CONVERT(DATETIME,''2016-11-10 11:00:00'')  AND Reminder_Date >= CONVERT(DATETIME,''2000-01-01 00:00:00'')  AND sv000805.WSReserved_CB5= 0  ORDER BY  Reminder_Date ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"7","exec sp_cursoroption 180199127,1,0"
"8","exec sp_cursorfetch 180199127,16,1,1"
"9","exec sp_cursorclose 180199127"
"10","declare @p1 int
set @p1=180199129
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT sv000805.*, ISNULL(t.Task_Description, sv000805.Note_Service_Index) as Subject  , CASE WHEN ISNULL(t.Task_Description, '''') <> '''' THEN 1 ELSE 0 END as ModeTache, a.Type_of_Problem , RTRIM(sv000805.CustNmbr) + ''_'' + RTRIM(sv000805.AdrsCode) + ''_'' + RTRIM(sv000805.Service_Call_ID) + ''_'' + RTRIM(sv000805.Ws_Note_Type) + ''_'' + RTRIM(sv000805.Note_Service_Index) as NoteKey FROM SV000805  LEFT JOIN HS_Appel a on sv000805.Service_Call_ID= a.Service_Call_ID LEFT JOIN HS_Tache t on sv000805.Service_Call_ID= t.Service_Call_ID         AND t.Task_Line_Number= CASE WHEN ISNUMERIC(sv000805.Note_Service_Index)= 1 THEN sv000805.Note_Service_Index ELSE 0 END WHERE UPPER(Reminder_Author) = ''ED50617RSC''  AND Reminder = ''1''  AND Reminder_Date <= CONVERT(DATETIME,''2016-11-10 11:01:00'')  AND Reminder_Date >= CONVERT(DATETIME,''2000-01-01 00:00:00'')  AND sv000805.WSReserved_CB5= 0  ORDER BY  Reminder_Date ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"11","exec sp_cursoroption 180199129,1,0"
"12","exec sp_cursorfetch 180199129,16,1,1"
"13","exec sp_cursorclose 180199129"
"14","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"15","SET TRANSACTION ISOLATION LEVEL READ UNCOMMITTED"
"16","SET TRANSACTION ISOLATION LEVEL READ UNCOMMITTED"
"17","SET NOCOUNT ON"
"18","SET NOCOUNT ON"
"19","declare @p1 int
set @p1=180150003
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=9
exec sp_cursoropen @p1 output,N'SELECT * FROM HS_ProprietaireAdhere ORDER BY ID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"20","exec sp_cursorfetch 180150003,16,1,1"
"21","exec sp_cursorfetch 180150003,16,2,1"
"22","exec sp_cursorfetch 180150003,16,3,1"
"23","exec sp_cursorfetch 180150003,16,4,1"
"24","exec sp_cursorfetch 180150003,16,5,1"
"25","exec sp_cursorfetch 180150003,16,6,1"
"26","exec sp_cursorfetch 180150003,16,7,1"
"27","exec sp_cursorfetch 180150003,16,8,1"
"28","exec sp_cursorfetch 180150003,16,9,1"
"29","exec sp_cursorfetch 180150003,16,10,1"
"30","exec sp_cursorclose 180150003"
"31","declare @p1 int
set @p1=180150005
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT COUNT(*) FROM INFORMATION_SCHEMA.COLUMNS  WHERE TABLE_NAME = ''gmp_systeme''   AND  COLUMN_NAME = ''isNewTaxCalc''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"32","exec sp_cursorfetch 180150005,16,1,1"
"33","exec sp_cursorclose 180150005"
"34","declare @p1 int
set @p1=180150007
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT isNewTaxCalc FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"35","exec sp_cursorfetch 180150007,16,1,1"
