"","SqlTrace"
"1","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read uncommitted"
"2","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"3","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read uncommitted"
"4","declare @p1 int
set @p1=180220263
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_USAGERS WITH(NOLOCK) WHERE UsagerID = ''ed50617'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"5","exec sp_cursorfetch 180220263,16,1,1"
"6","exec sp_cursorclose 180220263"
"7","declare @p1 int
set @p1=180220265
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=2394
exec sp_cursoropen @p1 output,N' select ID_VILLE, lTrim(rTrim(NOM_VILLE)) AS NOM_VILLE from GMP_VILLE  inner join GMP_PROVINCE on GMP_VILLE.ID_PROVINCE = GMP_PROVINCE.ID_Province  inner join GMP_PAYS on GMP_VILLE.ID_PAYS = GMP_PAYS.ID_PAYS  where Province=''QUÉBEC'' and PAYS =''CANADA'' ORDER BY NOM_VILLE ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"8","exec sp_cursorfetch 180220265,16,1,50"
"9","exec sp_cursorfetch 180220265,16,1,64"
"10","exec sp_cursorfetch 180220265,16,65,64"
"11","exec sp_cursorfetch 180220265,16,129,64"
"12","exec sp_cursorfetch 180220265,16,193,64"
"13","exec sp_cursorfetch 180220265,16,257,64"
"14","exec sp_cursorfetch 180220265,16,321,64"
"15","exec sp_cursorfetch 180220265,16,385,64"
"16","exec sp_cursorfetch 180220265,16,449,64"
"17","exec sp_cursorfetch 180220265,16,513,64"
"18","exec sp_cursorfetch 180220265,16,577,64"
"19","exec sp_cursorfetch 180220265,16,641,64"
"20","exec sp_cursorfetch 180220265,16,705,64"
"21","exec sp_cursorfetch 180220265,16,769,64"
"22","exec sp_cursorfetch 180220265,16,833,64"
"23","exec sp_cursorfetch 180220265,16,897,64"
"24","exec sp_cursorfetch 180220265,16,961,64"
"25","exec sp_cursorfetch 180220265,16,1025,64"
"26","exec sp_cursorfetch 180220265,16,1089,64"
"27","exec sp_cursorfetch 180220265,16,1153,64"
"28","exec sp_cursorfetch 180220265,16,1217,64"
"29","exec sp_cursorfetch 180220265,16,1281,64"
"30","exec sp_cursorfetch 180220265,16,1345,64"
"31","exec sp_cursorfetch 180220265,16,1409,64"
"32","exec sp_cursorfetch 180220265,16,1473,64"
"33","exec sp_cursorfetch 180220265,16,1537,64"
"34","exec sp_cursorfetch 180220265,16,1601,64"
"35","exec sp_cursorfetch 180220265,16,1665,64"
"36","exec sp_cursorfetch 180220265,16,1729,64"
"37","exec sp_cursorfetch 180220265,16,1793,64"
"38","exec sp_cursorfetch 180220265,16,1857,64"
"39","exec sp_cursorfetch 180220265,16,1921,64"
"40","exec sp_cursorfetch 180220265,16,1985,64"
"41","exec sp_cursorfetch 180220265,16,2049,64"
"42","exec sp_cursorfetch 180220265,16,2113,64"
"43","exec sp_cursorfetch 180220265,16,2177,64"
"44","exec sp_cursorfetch 180220265,16,2241,64"
"45","exec sp_cursorfetch 180220265,16,2305,64"
"46","exec sp_cursorfetch 180220265,16,2369,64"
"47","exec sp_cursorfetch 180220265,16,2395,64"
"48","exec sp_cursorfetch 180220265,16,1,50"
"49","exec sp_cursorfetch 180220265,16,51,50"
"50","exec sp_cursorfetch 180220265,16,101,50"
"51","exec sp_cursorfetch 180220265,16,151,50"
"52","exec sp_cursorfetch 180220265,16,201,50"
"53","exec sp_cursorfetch 180220265,16,251,50"
"54","exec sp_cursorfetch 180220265,16,301,50"
"55","exec sp_cursorfetch 180220265,16,351,50"
"56","exec sp_cursorfetch 180220265,16,401,50"
"57","exec sp_cursorfetch 180220265,16,451,50"
"58","exec sp_cursorfetch 180220265,16,501,50"
"59","exec sp_cursorfetch 180220265,16,551,50"
"60","exec sp_cursorfetch 180220265,16,601,50"
"61","exec sp_cursorfetch 180220265,16,651,50"
"62","exec sp_cursorfetch 180220265,16,701,50"
"63","exec sp_cursorfetch 180220265,16,751,50"
"64","exec sp_cursorfetch 180220265,16,801,50"
"65","exec sp_cursorfetch 180220265,16,851,50"
"66","exec sp_cursorfetch 180220265,16,901,50"
"67","exec sp_cursorfetch 180220265,16,951,50"
"68","exec sp_cursorfetch 180220265,16,1001,50"
"69","exec sp_cursorfetch 180220265,16,1051,50"
"70","exec sp_cursorfetch 180220265,16,1101,50"
"71","exec sp_cursorfetch 180220265,16,1151,50"
"72","exec sp_cursorfetch 180220265,16,1201,50"
"73","exec sp_cursorfetch 180220265,16,1251,50"
"74","exec sp_cursorfetch 180220265,16,1301,50"
"75","exec sp_cursorfetch 180220265,16,1351,50"
"76","exec sp_cursorfetch 180220265,16,1401,50"
"77","exec sp_cursorfetch 180220265,16,1451,50"
"78","exec sp_cursorfetch 180220265,16,1501,50"
"79","exec sp_cursorfetch 180220265,16,1551,50"
"80","exec sp_cursorfetch 180220265,16,1601,50"
"81","exec sp_cursorfetch 180220265,16,1651,50"
"82","exec sp_cursorfetch 180220265,16,1701,50"
"83","exec sp_cursorfetch 180220265,16,1751,50"
"84","exec sp_cursorfetch 180220265,16,1801,50"
"85","exec sp_cursorfetch 180220265,16,1851,50"
"86","exec sp_cursorfetch 180220265,16,1901,50"
"87","exec sp_cursorfetch 180220265,16,1951,50"
"88","exec sp_cursorfetch 180220265,16,2001,50"
"89","exec sp_cursorfetch 180220265,16,2051,50"
"90","exec sp_cursorfetch 180220265,16,2101,50"
"91","exec sp_cursorfetch 180220265,16,2151,50"
"92","exec sp_cursorfetch 180220265,16,2201,50"
"93","exec sp_cursorfetch 180220265,16,2251,50"
"94","exec sp_cursorfetch 180220265,16,2301,50"
"95","exec sp_cursorfetch 180220265,16,2351,50"
"96","exec sp_cursorfetch 180220265,16,2395,1"
"97","exec sp_cursorfetch 180220265,16,1,1"
